bom_id,tier,procurement_class,budget_bucket,category,manufacturer,manufacturer_part_number,item,quantity,unit_price,currency,extended_price,price_status,price_basis_date,supplier,supplier_url,manufacturer_or_datasheet_url,key_specification,use,limitation
MVP-001,MVP,required_purchase,MVP_priced_core,controller,Espressif,ESP32-S3-DevKitC-1-N8R8,ESP32-S3 development board,1,15.00,USD,15.00,live_distributor_listing,2026-07-30,DigiKey via Component Search Engine,https://componentsearchengine.com/prices/ESP32-S3-DevKitC-1-N8R8?manufacturer=Espressif+Systems,https://documentation.espressif.com/projects/esp-dev-kits/en/latest/esp32s3/esp32-s3-devkitc-1/index.html,8 MB flash plus 8 MB PSRAM; Wi-Fi/BLE,Primary sensor logger and sequencer,Camera capture remains on Raspberry Pi
MVP-002,MVP,required_purchase,MVP_priced_core,computer,Raspberry Pi,SC1176,Raspberry Pi Zero 2 W,1,15.00,USD,15.00,current_official_MSRP_stock_varies,2026-07-30,Raspberry Pi approved reseller,https://www.raspberrypi.com/products/raspberry-pi-zero-2-w/?variant=raspberry-pi-zero-2-w,https://pip.raspberrypi.com/categories/584-raspberry-pi-zero-2-w,1 GHz quad-core Cortex-A53; 512 MB; CSI connector,Locked camera capture,Local reseller stock can exceed MSRP
MVP-003,MVP,required_purchase,MVP_priced_core,camera,Raspberry Pi,Camera Module 3 standard / Adafruit 5657,Raspberry Pi Camera Module 3 standard,1,29.25,USD,29.25,live_supplier_price,2026-07-30,Adafruit,https://www.adafruit.com/product/5657,https://cdn-shop.adafruit.com/product-files/5660/camera-module-3-product-brief.pdf,12 MP Sony IMX708 autofocus; approximately 75 degree field of view,Repeatable RGB peel images,Lock focus exposure white balance and processing after setup
MVP-004,MVP,required_purchase,MVP_priced_core,colour_reference,Calibrite,CCC-MINI,ColorChecker Classic Mini,1,74.00,USD,74.00,live_manufacturer_price,2026-07-30,Calibrite,https://shop.calibrite.com/colorchecker-classic-mini-ccc-mini/,https://calibrite.com/us/product/colorchecker-classic-mini/?noredirect=en-US,24 patches; 63.5 x 109.0 mm,Per-session colour calibration and drift QC,Not a calibrated NIR diffuse-reflectance standard; replace when soiled or faded
MVP-005,MVP,required_purchase,MVP_priced_core,environment,Sensirion,SHT45-AD1B-R2 / Adafruit 5665,SHT45 temperature and humidity breakout with PTFE membrane,1,13.50,USD,13.50,live_supplier_price,2026-07-30,Adafruit,https://www.adafruit.com/product/5665,https://sensirion.com/products/catalog/SHT45,Typical accuracy ±1.0 %RH and ±0.1 degrees C in stated central ranges,Chamber T/RH covariates,Measures air not internal fruit moisture
MVP-006,MVP,required_purchase,MVP_priced_core,gas,Sensirion,SCD30 / Adafruit 4867,SCD30 NDIR CO2 breakout,1,58.95,USD,58.95,live_supplier_price,2026-07-30,Adafruit,https://www.adafruit.com/product/4867,https://sensirion.com/products/catalog/SCD30,Specified 400-10000 ppm; ±(30 ppm + 3% reading); I2C,CO2 accumulation slope,Shorten accumulation before exceeding specified range
MVP-007,MVP,required_purchase,MVP_priced_core,gas,Bosch Sensortec,BME688 / Adafruit 5046,BME688 environmental and MOX gas breakout,1,19.95,USD,19.95,live_supplier_price,2026-07-30,Adafruit,https://www.adafruit.com/product/5046,https://www.bosch-sensortec.com/products/environmental-sensors/gas-sensors/bme688/,MOX gas resistance plus T/RH/pressure,Broad odour/VOC trajectory,Not species-specific and strongly environment/baseline dependent
MVP-008,MVP,required_purchase,MVP_priced_core,mass,SparkFun,TAL220 / SEN-13329,10 kg straight-bar load cell,1,12.95,USD,12.95,live_supplier_price,2026-07-30,SparkFun,https://www.sparkfun.com/sparkfun-load-cell-10kg-straight-bar-tal220.html,https://www.sparkfun.com/sparkfun-load-cell-10kg-straight-bar-tal220.html,10 kg nominal capacity,Longitudinal fruit mass,Mounting creep hysteresis and temperature must be characterised
MVP-009,MVP,required_purchase,MVP_priced_core,mass,SparkFun,HX711 / SEN-13879,HX711 load-cell amplifier,1,4.95,USD,4.95,live_supplier_price,2026-07-30,SparkFun,https://www.sparkfun.com/sparkfun-load-cell-amplifier-hx711.html,https://cdn.sparkfun.com/assets/learn_tutorials/5/4/6/hx711F_EN.pdf,24-bit ADC; 10 or 80 samples/s; PGA,Load-cell acquisition,24-bit output does not imply 24-bit system accuracy
MVP-010,MVP,required_purchase,MVP_priced_core,adc,Adafruit,ADS1115 / PID 1085,ADS1115 16-bit ADC breakout,1,14.95,USD,14.95,live_supplier_price,2026-07-30,Adafruit,https://www.adafruit.com/product/1085,https://www.ti.com/lit/ds/symlink/ads1115.pdf,4 single-ended or 2 differential; 8-860 samples/s; PGA,Slow photodiode/TIA channels,Not suitable by itself for 256-pixel microspectrometer timing/readout
